,NMF_0,NMF_1,NMF_2,NMF_3,NMF_4,NMF_5,NMF_6,NMF_7,NMF_8,NMF_9,NMF_10,NMF_11,NMF_12,NMF_13,NMF_14,NMF_15,NMF_16,NMF_17,NMF_18
TRAF3IP3,0.0005290158990213393,0.0,0.0,0.0,0.004065674632669434,0.002504892786583929,0.00048419418373913206,0.0,0.06733359673468131,0.0014928908899136764,0.00014791474912882665,0.00018479915795291792,0.0,0.00017439969585542468,0.00012387341444911255,0.0022892860874500816,0.0017996186778061372,0.0,0.0
RD3,0.0,0.0,0.0,0.0,0.00011569099426784828,9.964069463908128e-05,0.0,0.00015252161761001375,0.0003956430311524116,0.0,0.0,2.442050964693093e-05,0.0,4.248092415034228e-05,0.0,0.00011545726896487511,3.2146802192405046e-05,0.0001937731252686231,0.0
SLC30A10,0.0,0.0007445643248464552,0.0,0.0,0.0428622396407288,0.01242436032718785,0.03879898884441971,0.0,0.0,0.0,0.0,0.017346925187009556,0.03117933277106667,0.015097102328228017,0.12989172606213492,0.0025718596395459216,0.03804660214279484,0.010535703582752836,0.0
FAM177B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06438886307605651,0.0,0.0,0.0,0.0,0.005872011346313922,0.00751174292820137,0.0,0.0,0.0,0.0
DISP1,0.03622140506871391,0.07765114833466412,0.0,0.10868129487991543,0.0,0.08739004925836845,0.07572725551114053,0.0,0.17505569814578167,0.0,0.0415366570291979,0.02075998226303062,0.013268482455257314,0.0,0.009607274508283423,0.0,0.01973910984304088,0.012590221111798503,0.010166362476882653
TLR5,0.0,9.900185123028374e-05,0.0,0.0,0.0006696347563911029,0.002683983996382077,0.010162768719213833,0.0,0.10424927903379455,0.0,0.0,0.0,0.0,0.0003347893787581981,0.003688085902453369,0.0,0.0,0.0002407134822038977,0.0
ITPKB,0.0,0.0005642439250166315,0.06924021160420855,0.0,0.07076140507985822,0.0,0.0,0.04872674214457938,0.05925081804973209,0.2526442775303055,0.0,0.0,0.141280448169396,0.0,0.1096542128187667,0.16248837293638405,0.0,0.0,0.18265428957954538
DISC1,0.014824408582925708,0.26336468747689273,0.0070750780312259075,0.0,0.0,0.08814281926746391,0.12050918585765442,0.0,0.5084480772888309,0.7659462845086753,0.0,0.0,0.0,0.0,0.24836800300912296,0.08486069157730741,0.0,0.0,0.049237627147627284
NID1,0.0,0.007256697431958369,0.0,0.0,0.0006417241618041955,0.0,0.04703446083798857,0.0,0.0,0.0,0.0,0.0011070849118494585,0.014450283468883099,0.002728999954468597,0.2154160958481957,0.00048053359672034425,0.0,0.0,0.0
PLD5,0.46379639048282084,0.15751071313461515,0.10113789088822253,0.0,0.10720363079185691,0.0,1.0342909615952671,0.0,0.0,0.5936638950818399,0.0055488420587044476,0.0,0.0027060158160783494,0.0007208973694999965,0.0,0.15443125942270536,0.0,0.0150016764206835,0.2986308889609497
KIF26B,0.4787855412229271,0.20846421016346176,0.0,0.0,0.09247944744794151,0.0,0.06302458009179826,0.0,0.07141562185008672,0.0,0.0,0.6934163045302965,0.0007398474167874922,0.0,0.015866082062476278,0.015249914591433242,0.23854214344149172,0.0,0.004529551296514001
